의도,문장,답변,연령대,성별,지역,인원수,월,음식종류,구매주기,상품목록,계절,연령대,성별,지역,인원수,월,음식종류,구매주기,상품목록,계절
추천,40대에서 무엇이 좋을까?,"40대에서 트렌디하게 즐기는 메뉴로 ‘[서울미나리] 뚝배기 알곤이찜’, ‘[고래주방] 유부주머니 떡볶이와 어묵탕’, ‘최현석의 우삼겹 마라크림 짬뽕’를 추천합니다.",40대,,,,,,,"[서울미나리] 뚝배기 알곤이찜, [고래주방] 유부주머니 떡볶이와 어묵탕, 최현석의 우삼겹 마라크림 짬뽕",,40대,,,,,,,,
트렌드,호남권 특징이 있나요?,호남권에서는 가격대와 양을 모두 고려한 실속 메뉴에 대한 선호가 두드러집니다.,,,,,,,,,,,,,,,,,,
추천,충남에서 잘 팔리는 상품은?,"충남에서 추천드릴 만한 메뉴는 ‘[CJ] 매콤달콤 생쫄면 (4인분)’, ‘[호텔컬렉션] 에센셜 호만두 김치 왕교자 735g’, ‘[제이키친] 떡볶이 2종’예요.",,,충남,,,,,"[CJ] 매콤달콤 생쫄면 (4인분), [호텔컬렉션] 에센셜 호만두 김치 왕교자 735g, [제이키친] 떡볶이 2종",,,,충남,,,,,,
트렌드,4인 특징이 있나요?,"4인에서는 최근 프리미엄 메뉴, 고단백·저칼로리 메뉴에 대한 관심도 높아요.",,,,4인,,,,,,,,,4인,,,,,
추천,혼자에서 인기 있는 메뉴는?,"‘[롯데] 이지프로틴 고단백질바 크리스피 미니 160g’, ‘[그리팅] 감바스 알아히요’, ‘[리틀 후쿠오카] 인기 라멘 3종’ 메뉴가 혼자에서 많은 사랑을 받고 있어요.",,,,혼자,,,,"[롯데] 이지프로틴 고단백질바 크리스피 미니 160g, [그리팅] 감바스 알아히요, [리틀 후쿠오카] 인기 라멘 3종",,,,,,,,,,
추천,대구에서 추천해줘,"대구에서 추천드릴 만한 메뉴는 ‘[에머이] 매운 소고기 쌀국수’, ‘[멘야하나비] 마제소바 2인분’, ‘[도리깨침] 7가지 채소찜 시즌 1 (2인분/저당소스 포함)’예요.",,,대구,,,,,"[에머이] 매운 소고기 쌀국수, [멘야하나비] 마제소바 2인분, [도리깨침] 7가지 채소찜 시즌 1 (2인분/저당소스 포함)",,,,대구,,,,,,
추천,50대에서 추천해줘,"50대 고객님들이 즐겨 찾는 메뉴로 ‘[오뚜기] 오뚜기밥 큰밥 (300gX4)’, ‘[매일식탁] 의정부식 부대찌개 (2-3인용)’, ‘[Chai797] 부추하가우’를 추천해요.",50대,,,,,,,"[오뚜기] 오뚜기밥 큰밥 (300gX4), [매일식탁] 의정부식 부대찌개 (2-3인용), [Chai797] 부추하가우",,50대,,,,,,,,
추천,겨울에서 인기 있는 메뉴는?,"겨울의 베스트셀러 메뉴는 ‘[프레시지] 듬뿍담은 어묵탕’, ‘[The:푸짐한] 돼지고기 김치전골’, ‘[그냥부엌] 페퍼로니 감자채전’입니다.",,,,,,,,"[프레시지] 듬뿍담은 어묵탕, [The:푸짐한] 돼지고기 김치전골, [그냥부엌] 페퍼로니 감자채전",겨울,,,,,,,,,겨울
추천,혼자에서 무엇이 좋을까?,"혼자에서 요즘 가장 많이 찾는 메뉴는 ‘[이화수x마이셰프] 육개장 칼국수 (2인분)’, ‘[하림] 누룽지 닭백숙’, ‘[플라하반] 오버나이트 오트밀 애플&라즈베리 450g’예요.",,,,혼자,,,,"[이화수x마이셰프] 육개장 칼국수 (2인분), [하림] 누룽지 닭백숙, [플라하반] 오버나이트 오트밀 애플&라즈베리 450g",,,,,,,,,,
추천,세종에서 인기 있는 메뉴는?,"세종에서는 최근 ‘[또보겠지떡볶이집] 떡볶이 1봉/2봉 (맵기선택)’, ‘[진실된손맛] 한우사골 양지곰탕’, ‘[한팟] 치즈 부대찌개 1858g(냉장)’가 인기 급상승 중입니다.",,,세종,,,,,"[또보겠지떡볶이집] 떡볶이 1봉/2봉 (맵기선택), [진실된손맛] 한우사골 양지곰탕, [한팟] 치즈 부대찌개 1858g(냉장)",,,,세종,,,,,,
추천,충북에서 인기 있는 메뉴는?,"충북에서 인기 TOP3 메뉴로 ‘[일일곡식] 새싹보리로 가뿐한 아침 귀리쉐이크 1kg’, ‘[김구원선생] 김치 순두부찌개’, ‘[튀김공방] 크림새우’를 추천합니다.",,,충북,,,,,"[일일곡식] 새싹보리로 가뿐한 아침 귀리쉐이크 1kg, [김구원선생] 김치 순두부찌개, [튀김공방] 크림새우",,,,충북,,,,,,
트렌드,부산 어떤 변화가 있나요?,"부산에서는 계절별, 연령별로 선호 메뉴에 차이가 있어요.",,,부산,,,,,,,,,부산,,,,,,
트렌드,전북 어떤 변화가 있나요?,"전북에서는 최근 프리미엄 메뉴, 고단백·저칼로리 메뉴에 대한 관심도 높아요.",,,전북,,,,,,,,,전북,,,,,,
트렌드,20대 소비 트렌드는?,"20대에서는 최근 프리미엄 메뉴, 고단백·저칼로리 메뉴에 대한 관심도 높아요.",20대,,,,,,,,,20대,,,,,,,,
추천,10월에서 무엇이 좋을까?,"10월에서 한 끼 해결하기 좋은 메뉴로 ‘[쉐푸드] 6가지 나물 비빔밥’, ‘[탄단지] 가벼운 한식 도시락 6종 (택2)’, ‘[CJ] 숯불향 닭강정’를 추천드려요.",,,,,10월,,,"[쉐푸드] 6가지 나물 비빔밥, [탄단지] 가벼운 한식 도시락 6종 (택2), [CJ] 숯불향 닭강정",,,,,,10월,,,,
추천,광주에서 잘 팔리는 상품은?,"‘[사세] 빠삭한 새우링’, ‘[오뚜기] 리얼 멕시칸 브리또 페페로니트리플치즈 (125G x 4개입)’, ‘[부침명장] 프리미엄 고기부추전 300g’ 메뉴가 광주에서 많은 사랑을 받고 있어요.",,,광주,,,,,"[사세] 빠삭한 새우링, [오뚜기] 리얼 멕시칸 브리또 페페로니트리플치즈 (125G x 4개입), [부침명장] 프리미엄 고기부추전 300g",,,,광주,,,,,,
추천,간편식에서 추천해줘,"이용자에서 트렌디하게 즐기는 메뉴로 ‘[라이틀리] 매콤해물 곤약 볶음밥 (4개입)’, ‘[비비고] 청양고기만두 400Gx2개입’, ‘[분식EASY] 불비빔냉면과 왕만두’를 추천합니다.",,,,,,간편식,,"[라이틀리] 매콤해물 곤약 볶음밥 (4개입), [비비고] 청양고기만두 400Gx2개입, [분식EASY] 불비빔냉면과 왕만두",,,,,,,간편식,,,
트렌드,아침 특징이 있나요?,"아침에서는 계절별, 연령별로 선호 메뉴에 차이가 있어요.",,,,,,,,,,,,,,,,,,
추천,충청권에서 추천해줘,"충청권에서 추천드릴 만한 메뉴는 ‘[동원] 딤섬 부채교 283g*2’, ‘[하림] 정통수제 가라아게’, ‘[도제] 리코타 치즈 생크림 산도’예요.",,,,,,,,"[동원] 딤섬 부채교 283g*2, [하림] 정통수제 가라아게, [도제] 리코타 치즈 생크림 산도",,,,,,,,,,
트렌드,여름 어떤 변화가 있나요?,"여름에서 간편식, 밀키트의 수요가 점점 늘어나는 추세예요.",,,,,,,,,여름,,,,,,,,,여름
추천,광주에서 인기 있는 메뉴는?,"광주에서 인기있는 메뉴로 ‘[식사이론] 메밀부추만두 350g*2’, ‘[조이풀메이드] 발효 곤약밥 6개입 3종 (택1)’, ‘[석관동 떡볶이] 오리지널 떡볶이 1봉/2봉(택1)’를 추천드려요.",,,광주,,,,,"[식사이론] 메밀부추만두 350g*2, [조이풀메이드] 발효 곤약밥 6개입 3종 (택1), [석관동 떡볶이] 오리지널 떡볶이 1봉/2봉(택1)",,,,광주,,,,,,
추천,간편식에서 인기 있는 메뉴는?,"이용자에서는 ‘[호밍스x능라도] 담백하고 깔끔한 평양식 만둣국’, ‘[일상식탁] 부산식 얼큰 낙곱새’, ‘[동원] 양반 오미밥 130g (24입)’가 꾸준히 인기예요.",,,,,,간편식,,"[호밍스x능라도] 담백하고 깔끔한 평양식 만둣국, [일상식탁] 부산식 얼큰 낙곱새, [동원] 양반 오미밥 130g (24입)",,,,,,,간편식,,,
트렌드,동남권 소비 트렌드는?,"동남권에서는 계절별, 연령별로 선호 메뉴에 차이가 있어요.",,,,,,,,,,,,,,,,,,
추천,1인에서 인기 있는 메뉴는?,"1인에서 꼭 한 번 드셔보셔야 할 메뉴로 ‘[정지선의 티엔미미] 북경작장면’, ‘[차려낸] 햄 가득 송탄식 부대찌개’, ‘[그냥부엌] 더바삭 치즈감자채전’를 추천드려요.",,,,1인,,,,"[정지선의 티엔미미] 북경작장면, [차려낸] 햄 가득 송탄식 부대찌개, [그냥부엌] 더바삭 치즈감자채전",,,,,,,,,,
트렌드,다이어트 특징이 있나요?,다이어트에서는 외식 대신 집에서 간편하게 즐길 수 있는 상품들이 큰 인기를 끌고 있습니다.,,,,,,,,,,,,,,,,,,
트렌드,대구 특징이 있나요?,"대구에서는 건강식, 다이어트, 프리미엄 메뉴에 대한 관심이 높아요.",,,대구,,,,,,,,,대구,,,,,,
추천,호남권에서 잘 팔리는 상품은?,"다양하게 즐기고 싶다면 호남권에서 ‘[고메] 바삭엣지 피자 리얼불고기’, ‘[골라담기] 방학 맞이 간편 면요리 골라담기 13종 (택2)’, ‘[동원] 쎈쿡 100% 발아현미밥 210g 12입’ 메뉴를 추천해요!",,,,,,,,"[고메] 바삭엣지 피자 리얼불고기, [골라담기] 방학 맞이 간편 면요리 골라담기 13종 (택2), [동원] 쎈쿡 100% 발아현미밥 210g 12입",,,,,,,,,,
추천,대구에서 잘 팔리는 상품은?,"다양하게 즐기고 싶다면 대구에서 ‘[하림] 킹용가리 770g’, ‘[하림] 포켓몬 치즈 너겟’, ‘[붓처스컷] 뉴욕스트립 스테이크’ 메뉴를 추천해요!",,,대구,,,,,"[하림] 킹용가리 770g, [하림] 포켓몬 치즈 너겟, [붓처스컷] 뉴욕스트립 스테이크",,,,대구,,,,,,
추천,40대에서 무엇이 좋을까?,"40대의 베스트셀러 메뉴는 ‘[풀무원] 속초식 코다리 냉면 (2인)’, ‘쫄깃한 정통 냉우동 (2인분)’, ‘[컬리X햇반] 향긋한 골든퀸쌀밥 210g*6입’입니다.",40대,,,,,,,"[풀무원] 속초식 코다리 냉면 (2인), 쫄깃한 정통 냉우동 (2인분), [컬리X햇반] 향긋한 골든퀸쌀밥 210g*6입",,40대,,,,,,,,
추천,8월에서 인기 있는 메뉴는?,"8월 고객님들께 ‘[부산 상국이네] 떡볶이 (2~3인분)’, ‘[마이셰프] 감바스알아히요 & 파스타 (리뉴얼)’, ‘[동원] 양반 비빔드밥 비빔밥 3종 (택1)’를 추천합니다.",,,,,8월,,,"[부산 상국이네] 떡볶이 (2~3인분), [마이셰프] 감바스알아히요 & 파스타 (리뉴얼), [동원] 양반 비빔드밥 비빔밥 3종 (택1)",,,,,,8월,,,,
추천,3월에서 잘 팔리는 상품은?,"3월에서는 ‘[방방곡곡] 충무로식 닭칼국수 (2인분)’, ‘[청정원] 오리지널 핫도그 375g (75gX5개입)’, ‘[Picard] 시골 감자튀김’가 만족도가 높아요.",,,,,3월,,,"[방방곡곡] 충무로식 닭칼국수 (2인분), [청정원] 오리지널 핫도그 375g (75gX5개입), [Picard] 시골 감자튀김",,,,,,3월,,,,
추천,1월에서 추천해줘,"1월에서는 ‘[리틀 비엣남] 마라 소고기 쌀국수’, ‘[크리스탈제이드] 레몬딜버터 크림새우 355g’, ‘[마마리] 우리쌀 떡국 (2인분)’가 만족도가 높아요.",,,,,1월,,,"[리틀 비엣남] 마라 소고기 쌀국수, [크리스탈제이드] 레몬딜버터 크림새우 355g, [마마리] 우리쌀 떡국 (2인분)",,,,,,1월,,,,
트렌드,전남 어떤 변화가 있나요?,전남의 소비자들은 맛과 간편함을 모두 추구하는 경향이 강해지고 있습니다.,,,전남,,,,,,,,,전남,,,,,,
트렌드,혼자 어떤 변화가 있나요?,혼자에서는 한식뿐 아니라 다양한 메뉴의 인기도 꾸준히 증가하고 있습니다.,,,,혼자,,,,,,,,,,,,,,
추천,10대에서 추천해줘,"‘[대구 반할만떡] 당면 만두’, ‘[면사랑] 직화 크림불닭면 (2개입)’, ‘[마이셰프] 돼지고기 감자 짜글이’ 메뉴가 10대에서 많은 사랑을 받고 있어요.",,,,,,,,"[대구 반할만떡] 당면 만두, [면사랑] 직화 크림불닭면 (2개입), [마이셰프] 돼지고기 감자 짜글이",,,,,,,,,,
트렌드,3인 소비 트렌드는?,3인 고객층의 신제품에 대한 관심이 꾸준히 증가하고 있습니다.,,,,3인,,,,,,,,,3인,,,,,
추천,인천에서 잘 팔리는 상품은?,"인천에서 요즘 가장 많이 찾는 메뉴는 ‘[99핫도그] 크리스피 핫도그 800g(80gX10개입) 2종 (택1)’, ‘[진실된손맛] 한우사골 양지곰탕’, ‘[푸드어셈블] 춘천식 닭갈비’예요.",,,인천,,,,,"[99핫도그] 크리스피 핫도그 800g(80gX10개입) 2종 (택1), [진실된손맛] 한우사골 양지곰탕, [푸드어셈블] 춘천식 닭갈비",,,,인천,,,,,,
추천,대경권에서 잘 팔리는 상품은?,"‘[쟌슨빌] 부대찌개’, ‘[먹쉬돈나] 부대떡볶이 3인분’, ‘[프레시지] 블랙라벨 스테이크’ 메뉴가 대경권에서 많은 사랑을 받고 있어요.",,,,,,,,"[쟌슨빌] 부대찌개, [먹쉬돈나] 부대떡볶이 3인분, [프레시지] 블랙라벨 스테이크",,,,,,,,,,
추천,여성에서 무엇이 좋을까?,"여성에서 ‘[쿠즈락] 휴게소 원조 소떡소떡’, ‘[하루한킷] 우삼겹 숙주 볶음’, ‘[바비엔] 오징어 삼겹살 볶음’ 메뉴가 특히 인기가 많아요.",,여성,,,,,,"[쿠즈락] 휴게소 원조 소떡소떡, [하루한킷] 우삼겹 숙주 볶음, [바비엔] 오징어 삼겹살 볶음",,,여성,,,,,,,
추천,충남에서 인기 있는 메뉴는?,"다양하게 즐기고 싶다면 충남에서 ‘[파머스 핫도그] 고구마 통치즈 핫도그’, ‘[리틀 후쿠오카] 인기 라멘 3종’, ‘[원에이커팜] 친환경 허브 샐러드 5종 (택1)’ 메뉴를 추천해요!",,,충남,,,,,"[파머스 핫도그] 고구마 통치즈 핫도그, [리틀 후쿠오카] 인기 라멘 3종, [원에이커팜] 친환경 허브 샐러드 5종 (택1)",,,,충남,,,,,,
추천,호남권에서 무엇이 좋을까?,"호남권에서 요즘 자주 찾는 메뉴는 ‘[미로식당] 어묵김말이’, ‘[모노키친] 뻘속의 진주 바지락탕’, ‘[올반] 치킨 데리야끼 볶음밥 (2개입)’입니다.",,,,,,,,"[미로식당] 어묵김말이, [모노키친] 뻘속의 진주 바지락탕, [올반] 치킨 데리야끼 볶음밥 (2개입)",,,,,,,,,,
추천,40대에서 추천해줘,"40대에서 트렌디하게 즐기는 메뉴로 ‘[풀무원] 한입쌀교자 310gx3개입’, ‘[그리팅] 강릉식 가오리찜’, ‘[서울미나리] 뚝배기 알곤이찜’를 추천합니다.",40대,,,,,,,"[풀무원] 한입쌀교자 310gx3개입, [그리팅] 강릉식 가오리찜, [서울미나리] 뚝배기 알곤이찜",,40대,,,,,,,,
추천,12월에서 무엇이 좋을까?,"요즘 2월에서 많이 찾는 메뉴는 ‘[그리팅] 감바스 알아히요’, ‘[마이셰프] 돼지고기 감자 짜글이’, ‘[이연복의 목란] 대만식 소시지 볶음밥 2종 (2인분) (택1)’입니다.",,,,,12월,,,"[그리팅] 감바스 알아히요, [마이셰프] 돼지고기 감자 짜글이, [이연복의 목란] 대만식 소시지 볶음밥 2종 (2인분) (택1)",,,,,,12월,,,,
추천,한식에서 추천해줘,"한식에서 자주 주문되는 메뉴는 ‘[애슐리] 주먹밥 4종’, ‘[오뚜기] 오뚜기밥 잡곡 3종’, ‘[쉐푸드] 찍어먹는 땡초 꼬마김밥’예요.",,,,,,,,"[애슐리] 주먹밥 4종, [오뚜기] 오뚜기밥 잡곡 3종, [쉐푸드] 찍어먹는 땡초 꼬마김밥",,,,,,,,,,
추천,인천에서 인기 있는 메뉴는?,"인천에서 인기 TOP3 메뉴로 ‘[풀무원] 즉석 해물 칼국수 2인분’, ‘[하림] 튤립 버팔로 봉 스파이시’, ‘[요고델리] 페스트리 샌드위치 3종’를 추천합니다.",,,인천,,,,,"[풀무원] 즉석 해물 칼국수 2인분, [하림] 튤립 버팔로 봉 스파이시, [요고델리] 페스트리 샌드위치 3종",,,,인천,,,,,,
트렌드,울산 소비 트렌드는?,울산에서는 최근 건강식에 대한 선호도가 뚜렷하게 보입니다.,,,울산,,,,,,,,,울산,,,,,,
추천,밀키트에서 인기 있는 메뉴는?,"‘[그라놀로지] 오트 펍스 300g’, ‘[쉐푸드] 한식 다찬도시락 12찬(리뉴얼)’, ‘[생어거스틴] 똠양꿍’ 메뉴가 이용자에서 많은 사랑을 받고 있어요.",,,,,,밀키트,,"[그라놀로지] 오트 펍스 300g, [쉐푸드] 한식 다찬도시락 12찬(리뉴얼), [생어거스틴] 똠양꿍",,,,,,,밀키트,,,
추천,5월에서 무엇이 좋을까?,"5월에서 자주 주문되는 메뉴는 ‘[1+1][바람의 핫도그] 청양 테이스티 400g (100gX4개입)’, ‘[부산 이가네] 이가네 떡볶이’, ‘[풀무원] 노엣지 페퍼로니 콤비네이션피자’예요.",,,,,5월,,,"[1+1][바람의 핫도그] 청양 테이스티 400g (100gX4개입), [부산 이가네] 이가네 떡볶이, [풀무원] 노엣지 페퍼로니 콤비네이션피자",,,,,,5월,,,,
추천,3인에서 잘 팔리는 상품은?,"3인에서 먹기 좋은 메뉴로는 ‘[피그인더가든] 시그니처 보울 샐러드 4종 (택1)’, ‘[리틀 차이나] 짜장면 2인분’, ‘[소하동고방] 현미 시리얼 견과&크랜베리 2개입’가 있습니다.",,,,3인,,,,"[피그인더가든] 시그니처 보울 샐러드 4종 (택1), [리틀 차이나] 짜장면 2인분, [소하동고방] 현미 시리얼 견과&크랜베리 2개입",,,,,,,,,,
트렌드,서울 특징이 있나요?,서울에서는 가격대와 양을 모두 고려한 실속 메뉴에 대한 선호가 두드러집니다.,,,서울,,,,,,,,,서울,,,,,,
추천,면류로 추천해줘,"이용자에서 요즘 자주 찾는 메뉴는 ‘[얌샘김밥] 비빔쫄면 (2인분)’, ‘[올가] 슬림누룽지칩 2종 (곤약/흑임자현미) (택 1)’, ‘[진실된손맛] 한우사골 양지곰탕’입니다.",,,,,,면류,,"[얌샘김밥] 비빔쫄면 (2인분), [올가] 슬림누룽지칩 2종 (곤약/흑임자현미) (택 1), [진실된손맛] 한우사골 양지곰탕",,,,,,,면류,,,
추천,5월에서 인기 있는 메뉴는?,"5월에서 인기 TOP3 메뉴로 ‘[면사랑] 멸치 잔치국수 273g * 2개입’, ‘[풀무원] 철판 바삭 감자채전 300g’, ‘[고메] 중화 짜장’를 추천합니다.",,,,,5월,,,"[면사랑] 멸치 잔치국수 273g * 2개입, [풀무원] 철판 바삭 감자채전 300g, [고메] 중화 짜장",,,,,,5월,,,,
트렌드,12월 어떤 변화가 있나요?,2월에서는 외식 대신 집에서 간편하게 즐길 수 있는 상품들이 큰 인기를 끌고 있습니다.,,,,,12월,,,,,,,,,12월,,,,
추천,밀키트에서 무엇이 좋을까?,"이용자 고객님들이 즐겨 찾는 메뉴로 ‘[쟌슨빌] 부대찌개’, ‘[하린이네주꾸미] 왕주꾸미 볶음 700g (냉동)’, ‘[뽀로로] DIY 하와이안 피자만들기’를 추천해요.",,,,,,밀키트,,"[쟌슨빌] 부대찌개, [하린이네주꾸미] 왕주꾸미 볶음 700g (냉동), [뽀로로] DIY 하와이안 피자만들기",,,,,,,밀키트,,,
추천,2인에서 무엇이 좋을까?,"2인에서 추천드릴 만한 메뉴는 ‘[조선호텔] 볶음밥 3종 (택1)’, ‘[석관동 떡볶이] 석관동 모듬튀김’, ‘[정호영셰프의 우동카덴] 명란 크림 우동’예요.",,,,2인,,,,"[조선호텔] 볶음밥 3종 (택1), [석관동 떡볶이] 석관동 모듬튀김, [정호영셰프의 우동카덴] 명란 크림 우동",,,,,,,,,,
추천,전남에서 추천해줘,"전남 고객님들께 ‘[홍루이젠] 제주 녹차 샌드위치 3개입’, ‘[샐러드판다] 스프레드 샐러드 3종’, ‘[김구원선생] 순두부 된장찌개’를 추천합니다.",,,전남,,,,,"[홍루이젠] 제주 녹차 샌드위치 3개입, [샐러드판다] 스프레드 샐러드 3종, [김구원선생] 순두부 된장찌개",,,,전남,,,,,,
트렌드,2월 소비 트렌드는?,"2월에서는 건강식, 다이어트, 프리미엄 메뉴에 대한 관심이 높아요.",,,,,2월,,,,,,,,,2월,,,,
추천,전북에서 잘 팔리는 상품은?,"전북에서 자주 주문되는 메뉴는 ‘[동원] 양반 오미밥 130g (24입)’, ‘[창화당] 김치궁중만두’, ‘[풀무원] 납작지짐만두 350g X 2개입’예요.",,,전북,,,,,"[동원] 양반 오미밥 130g (24입), [창화당] 김치궁중만두, [풀무원] 납작지짐만두 350g X 2개입",,,,전북,,,,,,
추천,가족에서 무엇이 좋을까?,"가족에서 한 끼 해결하기 좋은 메뉴로 ‘[존쿡델리미트] 잠봉뵈르 샌드위치 (2개입)’, ‘[네이쳐패스] 유기농 퀵오트밀 510g’, ‘김치듬뿍 한돈 제육볶음’를 추천드려요.",,,,가족,,,,"[존쿡델리미트] 잠봉뵈르 샌드위치 (2개입), [네이쳐패스] 유기농 퀵오트밀 510g, 김치듬뿍 한돈 제육볶음",,,,,,,,,,
추천,2인에서 인기 있는 메뉴는?,"2인의 베스트셀러 메뉴는 ‘[존쿡델리미트] 브로첸 샌드위치 (3개입) 2종’, ‘[자연담은]저당오트밀450g’, ‘[포차안주] 구미식 돼지찌개’입니다.",,,,2인,,,,"[존쿡델리미트] 브로첸 샌드위치 (3개입) 2종, [자연담은]저당오트밀450g, [포차안주] 구미식 돼지찌개",,,,,,,,,,
트렌드,울산 소비 트렌드는?,"울산에서는 최근 프리미엄 메뉴, 고단백·저칼로리 메뉴에 대한 관심도 높아요.",,,울산,,,,,,,,,울산,,,,,,
트렌드,11월 소비 트렌드는?,"1월에서 간편식, 밀키트의 수요가 점점 늘어나는 추세예요.",,,,,11월,,,,,,,,,11월,,,,
추천,세종에서 인기 있는 메뉴는?,"세종에서는 최근 ‘[일상식탁] 오징어 김치전’, ‘[라이스웰] 황동판에 구운 찹쌀누룽지’, ‘[탄단지] 가벼운 한식 도시락 6종 (택2)’가 인기 급상승 중입니다.",,,세종,,,,,"[일상식탁] 오징어 김치전, [라이스웰] 황동판에 구운 찹쌀누룽지, [탄단지] 가벼운 한식 도시락 6종 (택2)",,,,세종,,,,,,
추천,대구에서 추천해줘,"대구에서 먹기 좋은 메뉴로는 ‘[석관동 떡볶이] 오리지널 떡볶이 1봉/2봉(택1)’, ‘[푸디버디] 새콤달콤 미니 아란치니 토마토’, ‘[캐비아데일리] 바지락듬뿍칼국수’가 있습니다.",,,대구,,,,,"[석관동 떡볶이] 오리지널 떡볶이 1봉/2봉(택1), [푸디버디] 새콤달콤 미니 아란치니 토마토, [캐비아데일리] 바지락듬뿍칼국수",,,,대구,,,,,,
추천,간편식에서 잘 팔리는 상품은?,"이용자에서 ‘[삼립] 스크램블 더블 치즈 버거 (3입)’, ‘[호밍스] 김치어묵 우동전골’, ‘[청정원] 매콤달콤 고구마떡볶이’ 메뉴가 특히 인기가 많아요.",,,,,,간편식,,"[삼립] 스크램블 더블 치즈 버거 (3입), [호밍스] 김치어묵 우동전골, [청정원] 매콤달콤 고구마떡볶이",,,,,,,간편식,,,
추천,겨울에서 무엇이 좋을까?,"겨울의 베스트셀러 메뉴는 ‘[프레시지] 캠핑포차 꼬치 어묵탕’, ‘[고래주방] 유부주머니 떡볶이와 어묵탕’, ‘[하이디라오소스로 만든] 훠궈 2~3인분 (탕선택)’입니다.",,,,,,,,"[프레시지] 캠핑포차 꼬치 어묵탕, [고래주방] 유부주머니 떡볶이와 어묵탕, [하이디라오소스로 만든] 훠궈 2~3인분 (탕선택)",겨울,,,,,,,,,겨울
추천,10대에서 무엇이 좋을까?,"10대 고객님들이 즐겨 찾는 메뉴로 ‘[멘야하나비] 카레 마제소바 2인분’, ‘[쌉 : SAAP] 태국식 오향 쌀국수’, ‘[피자로빈슨] 베이컨 웨지 포테이토’를 추천해요.",,,,,,,,"[멘야하나비] 카레 마제소바 2인분, [쌉 : SAAP] 태국식 오향 쌀국수, [피자로빈슨] 베이컨 웨지 포테이토",,,,,,,,,,
추천,광주에서 잘 팔리는 상품은?,"광주에서 요즘 자주 찾는 메뉴는 ‘[프레시지] 듬뿍담은 칼제비 530g’, ‘[에머이] 소고기 쌀국수 키트 (2인분)’, ‘[하림] 정통수제 가라아게’입니다.",,,광주,,,,,"[프레시지] 듬뿍담은 칼제비 530g, [에머이] 소고기 쌀국수 키트 (2인분), [하림] 정통수제 가라아게",,,,광주,,,,,,
추천,봄에서 잘 팔리는 상품은?,"봄 고객님들이 즐겨 찾는 메뉴로 ‘[조선호텔] 고르곤졸라 피자’, ‘[포스트] 통보리 그래놀라 500g’, ‘[경주미정당] 밀 국물떡볶이’를 추천해요.",,,,,,,,"[조선호텔] 고르곤졸라 피자, [포스트] 통보리 그래놀라 500g, [경주미정당] 밀 국물떡볶이",봄,,,,,,,,,봄
추천,대가족에서 잘 팔리는 상품은?,"가족의 베스트셀러 메뉴는 ‘[누누반] 통 닭가슴살 곤약 도시락 5종 (2개입) (택1)’, ‘[LOTS OF LOVE] 한끼든든 시원한 황태국밥 (리뉴얼)’, ‘[코우지셰프] 이지카야 스지오뎅탕’입니다.",,,,가족,,,,"[누누반] 통 닭가슴살 곤약 도시락 5종 (2개입) (택1), [LOTS OF LOVE] 한끼든든 시원한 황태국밥 (리뉴얼), [코우지셰프] 이지카야 스지오뎅탕",,,,,,,,,,
추천,9월에서 잘 팔리는 상품은?,"요즘 9월에서 많이 찾는 메뉴는 ‘[미자언니네] 양배추&다시마 해물쌈장 키트’, ‘[하림]누룽지 치킨텐더’, ‘[모던구루] 국산 유기농 오트밀 500g’입니다.",,,,,9월,,,"[미자언니네] 양배추&다시마 해물쌈장 키트, [하림]누룽지 치킨텐더, [모던구루] 국산 유기농 오트밀 500g",,,,,,9월,,,,
트렌드,대구 특징이 있나요?,"대구에서는 계절별, 연령별로 선호 메뉴에 차이가 있어요.",,,대구,,,,,,,,,대구,,,,,,
트렌드,남성 특징이 있나요?,"남성에서는 최근 프리미엄 메뉴, 고단백·저칼로리 메뉴에 대한 관심도 높아요.",,남성,,,,,,,,,남성,,,,,,,
트렌드,전북 어떤 변화가 있나요?,전북에서는 최근 건강식에 대한 선호도가 뚜렷하게 보입니다.,,,전북,,,,,,,,,전북,,,,,,
추천,50대에서 잘 팔리는 상품은?,"50대에서 먹기 좋은 메뉴로는 ‘[어게인리프레쉬] 샐러드 8종 (택1, 리뉴얼)’, ‘[Kurly's] 샌드위치용 달걀감자 샐러드 500g’, ‘[LITTLENECK] 리틀넥 라자냐’가 있습니다.",50대,,,,,,,"[어게인리프레쉬] 샐러드 8종 (택1, 리뉴얼), [Kurly's] 샌드위치용 달걀감자 샐러드 500g, [LITTLENECK] 리틀넥 라자냐",,50대,,,,,,,,
추천,대구에서 잘 팔리는 상품은?,"대구에서 인기있는 메뉴로 ‘[그라놀로지] 시그니처 저당 프로틴 그래놀라 340g’, ‘[일상식탁] 바지락 황태 칼국수’, ‘[아침먹고가] 도시락 6종 (2개입) (택1)’를 추천드려요.",,,대구,,,,,"[그라놀로지] 시그니처 저당 프로틴 그래놀라 340g, [일상식탁] 바지락 황태 칼국수, [아침먹고가] 도시락 6종 (2개입) (택1)",,,,대구,,,,,,
트렌드,밀키트 특징이 있나요?,"이용자에서는 건강식, 다이어트, 프리미엄 메뉴에 대한 관심이 높아요.",,,,,,밀키트,,,,,,,,,밀키트,,,
