리뷰,리뷰길이,예측평점
후기가 좋아서 구매했어요,13,5
가성비좋아요 맛있어요,11,5
돈까스 처음으로 구입해봤어요 에어프라이어에 바로 넣어 먹으니 제일 간편하고 좋았어요 기본설정 180도 15분 돌리면 뚝딱 완성 집에 있던 새우볼도 함께 튀겨봅니다 저흰 원래 홈플 돈까스 애용했는데 오늘 남은거로 비교해서 먹어보니 마켓컬리돈까스가 훨씬 부드럽고 맛있는 냄새가 나요 홈플돈까스는 특유의 향이 있는데 마켓컬리 돈까스는 그런 향 없이 맛있는 고기가 부드럽게 부서지는데 조금더 고기식감이 있어도 좋을것같아요 저희가족은 간편한게 중요해서 식감 크게 상관없어 재구매 예정입니다,268,5
에어프라이어 돌려먹으면 편할 것 같아 주문했어요기대됩니다,31,5
돈까스를 워낙 좋아하는데 컬리 제품이 나와서 당장구매 기대해요,34,5
기대 이상으로 괜찮아요 자주 구매하는 아이템이에요,27,5
후기가 많고 좋은이유가 있네요 너무 맛있어요 재구매각,29,5
생각보다는 작아보이지만 맛 좋습니다,19,4
간편하게 먹기 좋아요,11,5
가격도좋고 이정도면 괜찮네요,15,5
가성비 좋고 맛있네요,11,5
약간 느끼해여 기름져요,12,3
후기도 많고 맛있다고해서 세일하기래 바로 쟁였어요 기름기는 조금있는데 바삭하고 크기도 커서 가성비도 좋은것같아요 그냥 단독으로만 먹었는데 사이드로 다른 음식이랑 먹어도 좋을듯,97,5
에어프라이어에 돌림 되니까 간편하고 맛있네요,24,5
딱 에어프라이어에 해먹기 좋아요 굿굿,20,5
와 에어프라이기로 해먹으니 정말 바삭바삭 바로 다섯개 남편이랑 흡입하고 또 장바구니에 넣었어요,52,5
왜 고기가 까맣죠 탄것도 아니고 덜익은것도 아닌데,27,2
이거 생각보다 괜찮음 재구매각,16,5
생각보다 먹을 게 많아요 아파트 장날에 오는 돈가스아저씨에게 즉석에서 바로 튀겨주시는 것만 사먹다가 컬리에서 시켜 먹었는데 이게 훨씬 좋아요 앞으로도 종종 구매할듯,91,5
만족합니다 만족합니다,11,5
그럭저럭 튀김옷이 좀 두껍네요,16,3
에프 돌랴먹으니까 너무맛잇어요,16,5
믿고 맛있게 먹을수 있어요 좋습니다 배송도 빨라요,27,5
에프용으로 너무 편하고 맛있어요,17,5
냉동인데 포장신경좀 써야할듯 싶네요 드라이아이스 달랑하나들어있어서 다녹아서왔어요,44,3
가성비는 좋은데 기름이 너무 많아요,19,3
사고 맛있어요 좋네용 자주 살듯,17,5
재구매의사 100 에프에 돌렸는데 겉바속촉 너무 맛있었어요,32,5
돈까스 가성비 너무 좋아요,14,5
너무 싸고 맛있어요,10,5
이거 한번만 시킨 사람은 거의 없을 것 같네요 최곱니다,30,2
맛있어요 재구매입니당,11,5
바삭하고 진짜 맛있어요잡내도 안나요,19,5
처음 시켜보는데 꽤 맛있네요 재구매할거에요,23,5
맛있어요 에프 돌리기만하면 되니 너무 편하구여,25,5
사이즈가 생각보다 크더라구용,15,4
에프 돌렷더니 바삭바삭 아주 제스타잏 재구매각이네요,28,5
평 괜찮아서 사봅니다,11,4
늘 먹는 컬리 생등심돈까스 좋은데 빵가루가 너어무 많고 꾀가 나서 한 번 시켜봤으나 이렇게 기름 많을 수가,59,1
등심돈까스 좋아요 굿,11,5
떨어지면 계속 재구매합니다,14,5
오 이거 맛있어요 바삭하고 살도 두툼해서 씹는 맛이 있어요,32,5
와돈까스 진짜 실하고 맛나요 둘이서 2개먹으니 든든해요,30,5
아직 먹기전인데 양도많규 가격착하네요,20,4
고기는 항상 옳아요 실패하지 않는 주문,21,5
마침 세일도 하고 간편하게 먹기 좋아보여서 샀어요 맛있으면 또 시킬게요,39,5
365 생돈까스 맛있어서 자주 시켜먹는데 기름에 튀기는것도 귀찮아서 주문해봤어요 생돈가스보다 아쉬운 맛이지만 조리하기가 정말 편해서 이제는 이제품으로 정착하려 합니다,92,5
에프에 손쉽게 조리되어서 급 돈까스 땡길 때 좋습니다 떨어지지않게 자주 주문해서 냉동 보관해서 먹고 있어요,59,5
아이반찬용으로 사봤어요,12,5
두툼하고 사이즈 좋아요 가성비 제품인듯,21,5
에어프라이용이라 간단하게 데워먹기 좋아요 고기질도 괜찮고 아이가 잘 먹어서 좋네요 추천합니다,51,5
튀김옷이 좀 두껍고 기름이 많이 나오긴 하지만 맛은 나쁘지 않아요,36,3
에어프라이에 돌렸는데 기름도 쏙 빠지고 바삭하고 고소하고 맛있어요,36,5
완전 쟁여템입니다용 두번째 구매인데 가성비 좋고 돈까스도 넘 맛나요 두툼하고 바삭하니,47,5
편하게 한끼 해결 했어요,13,5
아직 먹 기전이지만 후기들이좋아서 샀어요,22,4
좀 짠듯한 그래도 한끼 간단히 비상용으로 진짜 좋아요,29,4
요고 가성비 좋은 녀석입니다 저는 김밥쌀때 주로 활용하고 돈까스 카레밥을 해줘요 맛도 굿,49,5
세일해서 담았어요 아이들 반찬으로 준비했어요,24,5
잡내 바삭하고 안나고 맛있네여,16,5
세일해서 주문했어요,10,4
에어프라이어 돌렸는데 너무 맛있네요,19,5
에어프라이어 없지만 샀어요 돈가스 소스도 샀어요,26,5
괜찮은데 포장이 너무 커요,14,3
너무 관찮아요 에프에 돌려도 촉촉바삭 재구매각,25,4
돈까스 샌드위치 해먹어요,13,4
즐겨 애용하는 제품입니다,13,5
세일가 가성비 최고라서 구매했어요 컬리제품 믿고 구매하죠 맛있을거라 기대하고 있어요,46,5
첫구매에욘 새해에 먹으려고 샀는데 기대중압나더,25,5
에어프라이어용운 처음인데 맛있기를,18,4
맛있다고 해서 구입요 에프에 돌려 맛나게 먹어볼께요,28,5
맛있어서 재주문 했어요,12,5
간편해서 좋네요,8,5
아이들이 좋아하는 돈까스 늘 구매해두는데 컬리건 늘 품질이 좋아서 믿고 구매해요,44,5
너무맛있어요 세일할때 종종 사야겠어요 에어프라이어가 작아서그런지 통으로 구우면 잘 안익어요 잘라서 익혔어요,59,5
괜찮습니다 무난무난,10,4
에어프라이용 편할거 같아 사봐요,17,4
에프전용으로 구매한건데 바삭하니 속살도 도톰 해서 만족해요 맛도 좋구요,39,5
다섯장들어있어요 바삭하고맛있어요,17,5
돈까스가 생각날 때 간단히 에어프라이어에 구어 먹기 좋아요,32,5
간편하면서 에프에데우기만하니 기름두르고할것없이 넘좋아요,30,5
가격대비 괜츈 아이들도 잘먹고,16,5
좋아요 자주이용할게요,11,5
일단 후기좋아서 아이들 먹으라고 사뒀습니다,23,5
패키지에 뭐가 묻어있어요 내용물이 손상된건 아니라 문제없는데 보기에 좀,39,3
에프용이라 그런지 기름을 많이 머금고 있는것 같고 맛은 괜찮고 편리해서 좋네요,43,4
처음 구매해보는데 후기가 좋아서 기대되요,22,5
에어프라이 통돈까스 재구매강추,16,5
기존에 컬리에서 사먹돈 돈까스보다 이게 더 맛있네요 덜 기름져서 좋아요 에프에 짱,45,5
맛있어요 재구매 예정입니다,14,5
에프에 돌렸는데 속이 약간 눅눅했어요 고기 씹히는 맛 보다는 여러번 두드려서 부드럽게 만든 느낌이라 고기 씹는 맛 느끼도 싶으신 분들께는 비추요,80,1
맛있어서 재구매해요,10,5
후기가 좋길래 사봤어요 맛있으면 좋겠네요,22,5
아이들주려고 구입해봤어요 돈까스는 아파트 장서는 날에만 종종 사먹는데 이번에는 날씨가 추워져서 코앞에도 나가기 힘들어서 컬리에서 에어프라이어용 통등심 돈까스를 주문해봤어요 맛있어서 재주문하고 싶네요 맛있으면 후기 이어서 남길께요 냉동이라 그런지 유통기한도 내년 9월까지 입니다,154,5
담백하고 맛있어요,9,5
넘 맛있어요 에어프라이어용이라 더 간편합니다,24,5
후기가 좋아서 구매해봤어요,14,5
이거 너무 바삭하고 맛있어요,15,5
에어프라이어에 데우니 기름도 좀 빠지고 바삭하니 맛있어요,31,5
집에서 돈까스를 먹을 수 있어 좋아요,20,5
남편이 맛잇대요 굿,10,5
세일하길래 사봤어요 맛있길,14,5
무난한 맛입니다 바삭한데 튀김옷이조금 두꺼운듯해요,27,3
외식하는것보다 퀄리티가 좋아요,16,5
겨울방학 아이들 반찬이 필요해 구매했습니다 간단하게 한끼 먹이기 좋아요,39,5
할인해서 더 좋네요,10,5
여기 돈까스 진심 추천100000 에어프라이어용 아닌것부터 입문해서 너무맛잇어서 두종류 다 구매햇는데 진심 이것도 맛잇네요,68,5
컬리 믿고사는 후기좋아서 삽니다,17,5
에어프라이어에 6분정도돌리면 맛납니다,20,5
아직 먹어보진 않았지만 후기가 좋아서 신청하고 맛을 기대합니다,34,4
맛있어요 냉동 그대로 돌려도 되네요,19,5
재구매입니다 너무 깔끔하고 맛있어요,19,5
진짜 최고 에프에 돌려서 메는데 끝맛이 엄청고소해요,28,5
후기보고 구매했어요 아직 냉동실에,18,5
오 너무맛있어요 퀄리티좋아요 재구매 할꺼에용,24,5
180도 15분 에어프라이어 돌렸더니 맛있는 요리가 됬어요,32,5
간편히 바삭하게 먹기 좋아요,15,5
에어프라이어에 돌리면 돼서 간편하고 양도 꽤 많아서 좋네요,32,5
간편하게 조리후 바삭바삭하고 고소하네요 아주좋아요,27,5
돈까스 맛있음 통통함,11,4
맛있기를 기대하며 양은 맘에 들어요,19,4
기름이 좀 많지만 밋있습니다,15,4
에어프라이어에 돌리니 돈까스 먹기 간단해서 좋아요,27,5
평 좋아서 구매했는데 맛있어요,16,5
기름빠지라고 망 위에 비스듬히 세워서 에프에13분 돌렸어요굳이 뒤집지않아도 너무나 완벽하게 바삭해서 신나게 두조각 잘라먹는데 고기가 고기가 덜익었네요 망할급하게 먹느라 고기가 두툼해서인지 겉보기에 바삭해도 반드시 뒤집어 한번 더 구우세요 이제품 첫구매인데 정말 편리한조리법과 맛에 박수를 보냅니다1인분 배달시켜먹으면 가격도가격이지만 배달비가 아깝잔아요배달돈까스에 뒤지지않는 맛과 양에 감탄했어요가끔 생각날때 다시 사러올께요,236,5
괜찮아요 사이즈도 크고 토핑용으로 제격인 돈까스에요,28,4
만만하게 먹을만함,9,3
겉바속촉 두툼하고 냄새도 없어서 맛나게 먹었어요,26,5
아이들 간식 밥반찬으로 맛있어요,17,5
에어프라이어에 돌리면 끝,13,4
동생한테 추천받아서 장바구니에 넣어두었는데 세일해서 바로 주문했어요,37,5
간편하고 맛있습니다,10,5
후기가 좋아서 구매했어요 기대중 양도 넉넉하니 좋을듯,29,5
오 가성비 짱이에요 기대외요,15,5
종이박스에 배송됐는데 포장지 겉면에 스티로폼이 붙어있고 내부 돈까스에는 녹았다 언 성에가 끼어있어 반품상품 왔는지 찝찝하네요,69,2
통등심이 아닌거 같아요,12,3
항상 맛있게 먹고있구간편해요,15,5
우와 진짜추천래요 냉동 돈가스 많이먹어봤는데 저는 비계섞인거 싫어하는데 여긴 살코기 적당히 두둑히 듳어있는데 질기지도 않고 완전 바삭하게 익어요 깜놀 식당에서 먹는거같아요 냉동 튀김옷 특유 맛도 없어요 추천합니다,118,5
고기 굵기는 얇아요 그냥저냥 먹기 좋아요,22,4
양도많고 맛도 괜찮네요,12,5
음기름쩐내가 너무 났어요 후기가 좋아 2팩 구매했는데 아쉽습니다 단 컬리배송은 정말 최고에요 기사님들 감사해요,61,4
바삭바삭하기보다는 조금 부드러운 식감입니다 에어프라이어에 조리하면 되서 간편합니당,45,5
후기에 맛있다길래 사봤어요 에프에 돌려먹을 예정,26,4
남편이 돈까스를 조아해서 자주 시켜요,20,5
양도 많고 좋아요,9,5
후기가 좋길래 구매해봤습니다,15,5
가격대비 좋아요 종종 구매 할것같이요,20,5
후기가 좋고 에어프라이어용이라기에 구입했어요,24,5
두툼하고 크네요,8,4
아직안먹어봣지만맛마요,11,4
생각보다 맛있어요 잘 샀네요,15,5
다시 재구매했어요 조리는 간편 튀김옷은 바삭하고 고기는 부드럽고 맛있음,39,5
에어프라이어 구워먹으니 넘 맛나요,18,5
넘 괜찮아요 반찬으로 최고인 돈까스 냉동실에 꼭 있어야하느누템이에요,37,5
통등심돈까스 구매합니다,12,4
상품평보고 애 방학이라 주문했어요 맛있길 기대해요,27,5
항살 사는 반찬 아이들 좋아하는 돈까스 에어프라이어에 간편해요,34,5
후기보고 구입해서 먹어보니 가격맛 다 괜찮아서 자주 재구매중이예요,36,5
후기 좋아서 구입해 봤는데 역시 맛있네요 냉동 돈까스 중 최고,34,5
좋아요 잘받았어요,9,4
바쁠때 간편하게 에어프라이어에 조리할 수 있어 좋아요,29,5
돈까스를 이용해 돈까스카레덮밥을 만들었어요맛있게 잘 먹었습니당 가성비갑,39,5
후기좋아 사봤어요 가성비 좋아요,17,5
후기가 좋아서 주문했는데 맛있겠죠,18,5
에어프라이어용이라서 편할 것 같아요,19,4
아직은 안먹어보았습니다맛있을거같아요,19,4
술안주용으로 구매했어요 기름 두를 필요없이 에어프라이기에 넣기만 하면 돼서 편할 것 같아요,50,5
365 믿고 구입합니다 포장이 단촐하네요,22,4
에어프라이어에 구워 먹으면 맛납니다,19,5
컬리 돈까스 늘 구매하는데 에어프라이어용은 편리함으로 세일때 쟁였어요,38,5
신선하고 저렴히 잘먹었어요,14,5
후기가 좋아서 구입했어요 아이들이 좋아하네요,24,5
돈까스 두툼하고 맛있어요,13,5
처음 구매해 보는데 맛있길요,15,5
고소 담백 신선하니 맛나네요,15,5
상품평이 좋아 구매 다만 살짝 녹아온듯 과대포장도 문제지만 과소 포장도 아닌듯,43,3
정말 에프에 구워도 맛나네요,15,5
가족이 좋아해서 자주 구매해서 먹고 있어요,23,5
아직 먹진않았는데 맛있길바래요,16,4
후기보고 구매했어요,10,4
번거롭게 튀기지 않아서 편리하네요,18,5
가성비가 좋은 것 같아요 맛있습니다,19,5
후기믿고 사봅니다 맛있기를,14,5
바삭하고 맛있습니다 재구매했네요,17,5
크기도 크고 간단하게 에어프라이어에 둘려먹을수 있어서 편하네요,34,5
통등심 돈까스 맛있어요 맛있어요,17,5
살짝 기름진 느낌 있지만 가격대비 훌륭합니다,24,4
에어프라이어 고장으로 전자렌지에 2분돌린후 후라이팬에 살짝 구워내니 아주좋네요반찬없을때 빠르게 내어놓을수있는 아주 훌륭한 제품입니다,73,5
맛있어요 가성비 짱 내일 튀겨서 도시락 반찬으로,26,5
봉지가 찢어져서 왔어요 맛에는 문제 없길 바래요,26,4
이거 맛있어서 또 샀어요,13,5
해동 꼭 잘 하고 15분 정도 충분히 익혀야 바삭하고 안이 익어요 예열 안 하면 20분 넘게 걸려야 익혀져요 안 짜고 바삭해서 가끔 먹고 싶은 맛,81,4
에프에 돌려먹으니 냄새도 안나고 맛있어요,22,5
후기보고샀는데 좋습니다,12,5
양 적은거 먹어보고 맛 괜찮아서 큰거 시켰어요,25,4
에어프라이어에 돌리면 바삭해요,16,5
오 이거 추천이요 다음에도 재구매의사,20,5
후기가 좋아서 기대속에 주문했답니다 반찬 애매할때 딱 올리려고요 기대됩니다,41,5
와 진짜 바삭하고 맛있어요 김치나베 해서먹었는데 진짜 맛나서 깜놀 재구매각 300프로,47,5
양 많아서 너뮤 조앙,11,4
에프용이라 그런지 잘익고 맛나요,17,4
방학이라서 쟁여놨어요,11,5
맛있어요아이들도좋아하고 어른도좋아해요에어후라이어에 편히조리하니 돈까스해먹기가 두렵지않아요,49,5
돈까스김치나베 만들었는데 완성사진은 먹느라 못 찍었네요돈까스 맛있어요,38,5
후기가좋아 구매했는데 맛있어요냉동 돈가스 집에서 튀긴거보다 더 맛있는거 같아요 에프에 돌리기만하면 끝 이제 돈가스는 요걸로 당첨 아주 바삭바삭하고 냄새 전혀없네요,90,5
떡볶이에 같이 넣어 먹으니 맛있네요,19,5
반찬 애매할 때 한 개씩 꺼내어 에프에 180도 15분 돌려 먹는답니당,39,5
잘받았습니다 잘먹을게요,12,4
바삭한데 기름은 좀 많은듯합니다,17,4
완전 고퀄 어릴 때 엄마가 해주시던 맛,21,5
후기 좋아서 처음 주문해봤어요 에프용이라 편하네요 아이들이 맛있대요,37,5
에프 돌려 먹었는데 맛있게 잘먹었네요 조리도 간편하고 맛도 바싹하게 고기도 적당한 두께이고 좋았습니다,56,5
진짜 맛잇어요 앞으로 이것만 먹을거같아요,22,5
김치우동이랑 같이 먹으려고 주문했어요 돈까스는 기름을 많이 써야해서 집에서 잘 안먹는데 에어프라이용이라 구매해봤어요,64,4
다른 후기들처럼 요거 진짜 바삭하니 맛있네요 고기 잡내도 전혀 없고 에프에 조리했더니 입안이 까질정도로 튀김옷이 엄청 바삭해요 고기 두께도 적당하고 겨울방학동안 냉동실에 쟁여놔야할 필수품,104,5
에어프라이어로 돌리니 아주 바삭한 돈가스예요 추천해요,29,5
배송도 빠르고 좋아요 감사합니다,17,5
후기좋아서 주문해봣어요,12,5
맛있네요 에프에 돌리기만 하면 되는거라 편해요,25,5
오븐에 구워서 맛있게 먹었습니다,17,5
냉동실에 두고 반찬 할거 없을 때 에어프라이어게 구우면 딱이에요,35,5
부드럽네요 결 잘못찾았더니 질겼네요,19,3
저녁반찬으로 애들 잘먹네요,14,5
터져서왔어요비닐 찢어져서 스티로폼박스안에 튀김가루난리났네요 안에는 괜찮은것같아서 그냥 먹어요,51,3
두께도 적당하고 맛있어요,13,4
다른제품 먹다가 갈아탔어요 가성비가 좋아서,23,5
실속있는 제품 맛도 좋음,13,5
살도 두둑하니 정말 좋아요,14,5
맛있어요 재구매 예정,11,5
오괜춘 평이 좋길래 주문했는데 꽤 괜찮네요 자주 주문할듯,31,4
편하게 한끼 해결 좋아요,13,5
저렴하게 잘 샀어요,10,5
에프용도 있어서 구매했어요,14,4
반찬없을 때 간편해서 굿,13,5
평이 좋아서 사봤어요 아기 반찬해주려구요,22,5
기대가 큽니다 돈선생,11,4
아직 먹기전 후기 좋아 구매했어요,18,5
에어프라이어용이라 조리가 간편하고 맛있음,22,5
고기도 실하고 통살이라 더 좋아요,18,5
트레이에 담겨있음에도 빵가루에 비닐이나 돈까스 꺼내고도 정리하기가 좀 난리네요 에프로 제시된 시간 보다 짧게 했더니 반죽이 치즈마냥 폭신했는데 원래대로 너무 돌려보니 튀김옷이 월등히 두꺼워 튀김먹는 기분였어요 개봉해서 열자마자는 신선한 튀김 빵 냄새가 좋았지만 돈까스로 재구매는 고민고민할 것 같아요,167,2
가성비 좋은 돈까스 맛도 괜찬은데 돈까스 색이 좀 진해요좀 많이 튀겨졌을때 나오는 색이에요,50,4
처음사봐요 맛있길바랍니다,13,5
돈까스 맛있고 가성비 좋아 재구매,18,5
후기가 좋아서 주문해봤어요,14,4
훌륭합니다 간편하고 맛있어요 잡내도 안 나구요 저희집 에프는 약해서인지 18분 하니까 가운데가 덜 익어서 25분정도 돌렸어요,69,5
봉지 끝이 찢겨와서 좀 찝찝해서 고민되네요,23,3
조리도 간편하고 맛도 괜찮아서 재구매합니다,23,5
좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,27,5
보기엔 맛없게 보이지만 어제 받자마자 두장 에프에 구웠어요 너무 괜찮아요 재구매 의사 있아요,51,5
이거 예전에 주문한적 있었는데 맛있게 잘 먹었어요 남편이랑 둘이 살아서 이거 주문하면 며칠은 맛있게 먹는거같아요 그리고 예전보다 훨씬 커진거같은 느낌이에요,86,5
맛있었으면 좋겠네요,10,4
기대많이 했는데 생각보다 별로입니다,19,2
후기 보고 구매했어요에어에 돌리기만 해도 되니까 먹기 편할 거 같아요,38,5
365는 좀 믿고 살수 있어서 좋은거 같아요에프에 간단히 잘 해먹을게요,39,5
재구매에요 에프에 진짜 좋아요 기름도 적당하구요,26,5
굿 좋아요 자주구매 신속하게 잘 받았습니다 진짜 맛남요,30,5
양이넉넉하고 올리브오일넉넉히둘러 에프에넣음 잘익어요,28,5
맛있을거 같아서 구매해요,13,5
돈까스조아하는남편위해구매,13,4
에프에편하게돌려먹음맛나요맛나요,16,5
바삭바삭 에프에 돌려서 편하게 맛있게 잘먹었어요,26,5
세일해서 쟁여둡니다 반찬 없을 때 에프에 돌려먹으면 맛있어요,33,5
맛있어요 잘먹었습니다 맘에들어요,17,5
에프 이용하면 편하고 바삭하니 속은 촉촉합니다 아주 맛나요,32,5
소분해서 냉장고에 넣고 하나씩 꺼내 먹고 있어요,26,4
아이가 돈까스를 좋아해요 낼부터 방학이라 먹을거 쟁여두려고 구매했어요 아이가 잘 먹었으면 좋겠네요,54,5
요거 맛나네요 도시락 반찬으로 집에서 먹기 딱 좋아요,29,5
가격이 착해서 겟,9,4
후기좋아서 기대됩니다,11,5
처음 사보는데 후기가 좋아서 샀어요,19,4
포장 꼼꼼하게 늘 먹던 제품 싸게 샀습니다,23,5
후기좋고 할인하길래사봤어요 맛있으면 또살게여,24,5
가성비 굿 프라이팬에 튀겨도 맛나요,19,5
아직 먹기전이지만 후기가 좋아서 사봣어요 맛있겠죠,27,5
후기좋아서 샀어요 에프에간단히,16,5
간단하게 먹기좋고 바삭 고기는 생각보다 얇아요,25,4
후기가 말해주듯이 바삭하고 간편하게 먹을 수 있는 제품입니다,33,5
아이 지취방으로 보내줫어요 돈까스 맛있다고 하네여,27,5
평이 좋아서 쟁여템으로 사봤어요,17,5
너무 퀄이 좋네요 계속 쟁여놓을거같아요,21,5
에프에 돌리니 돈가스 가게에서 먹는맛 느끼하지 않고 잡내도 없음,35,3
아이반찬 잘먹었어요,10,4
양이 많아서 좋아요,10,5
이거 대박이네요 에어프라이기로 안내 되어 있던것보다 좀 더 돌리긴해야되요 속 안에가 좀 달 익어서 잘라서 5분 정도 더 돌렷는데 맛나요이거 걍 돈가스임당,85,5
처음 구입했는데 맛있네요,13,5
맛있어요 가성비짱,9,5
기름에 안 튀기고 에어프라이어어 슝 먹기 편해요,26,5
에프로 돌려 먹었는데 기름기 적고 겉바속초 부드럽고 좋습니다,33,5
가격좋고 맛도 괜찮습니다,13,5
이것도 맛있긴한데 2개 들어간 두꺼운 돈까스가 더 맛잇긴해용,33,4
통등심 기름쫙빼고 맛낭,12,4
가성비 좋은 상품입니다,12,5
에프에 돌려서 편하게 먹을 수 있어서 좋네요,24,5
평이좋아 구매했지만 느끼합니다 정말 맛있다고하신분들이 이해는안가지만 입맛이 다 다르니까요 재구매는 전 안할듯 정말 솔직한평,68,2
아직 먹어보지 않았지만 기대되요,17,5
살코키가 많고 에어프라이기 사용하니 전문점에서 먹는 그 맛이에요 맛있네요,40,5
먹기전인데 맛있을거같아용,13,5
후기가 좋아서 기대하고 구입했어요 맛있겠죠,23,5
후기가 좋아서 구매해봤어요,14,5
맛 괜챊더라고요,8,4
후기 좋아서 구매했어요 이번에도 케이에프제품은 틀림없기를,31,5
마켓컬리 돈가스가 제일 맛있어요 에어프라이어에 돌리면 되서 간편해요,37,5
괜찮아서 재구매 했어요 좋아요,16,4
에어프라이어용 돈가스 바삭하니 맛있네요 가성비 괜찮아요,30,5
냉장고에 쟁였어요 맛나요,13,5
배송빠르고 신선해요4,11,5
바삭하게 잘 튀겨졌네요,12,4
냉동이리 보관하기 좋고 하나씩 에프에 돌리면 반찬으로 딱이네요,34,5
생각보다 양이많더라고요,12,4
돈까스 괜찮더라구요,10,4
통통하니 고소해서 맛있어요,14,5
두툼하고 맛있어요 크기도 적당하고요,19,5
후기보고 믿고 구매해이,12,5
에어프라이어로 간편하고 맛있는 돈까스 완성,23,5
에프에서 권장시간만큼 돌리니 바삭하고 촉촉하게 잘 조리되더라구요 반찬으로 넘 맛있게 잘 먹었어요 다음에도 돈가스는 이제품으로 구입하려구요,76,5
에프에 해먹었는데 생각보다는 그냥,18,3
양도 푸짐하고 가격도 착해서 주문해봤어요,22,5
아주 맛있진 않아요,10,3
재구매 상품이예요 가격대비 좋아요,18,5
가성비 좋아요 간편하고 맛있어요,17,5
돈까스 엄청 좋아하는데 후기가 좋길래 구매해봤어용,27,5
에프만 돌리면 되서 간편하고 맛도 좋아요,22,5
크기가 엄청 크진 않아서 어른들이 먹을땐 다른 음식과 곁들여 먹어요,37,4
친구추천으로 산건데 가성비 갑,16,4
두께 적당하고 맛있네요 너무 두꺼운건 냄새 나던데 이건 먹기 좋아요,37,4
아직 많이 남았는데 또 주문해요,17,5
조리가 간단해보여서 좋아요,14,5
5장짜리 나와서 좋네요,12,4
맛있을지 궁금하네요,10,4
가성비좋아요 다만 아쉬운건 사이즈가 작아서 아쉽지만 에어프라이어에 구으면 바삭바삭,45,4
잘받았습니다 수고하세요,12,4
요거는 잘 익혀 먹어야 겠어요 에후에 15분 돌렸는데 약간 속에 핏기 있어서 5분 더 돌렸어요두장기준예열안함,60,4
양많고 맛있고 간편,10,5
두툼하고 잡내없어 좋아요,13,5
맛있어서 재구매한거에요 가성비도 좋아요,21,5
할인중이라 구매 맛있다길래 기대중입니다,21,5
바삭하니 기름기도없고 맛있습니다,17,5
와 진짜 맛나요 후기 좋아서 구매했어요 에프 180에 15분 돌렸는데 겉바속촉입니다 예상대로 기름이 많이 나와서 쫙 빼주고 먹었는데 담백하고 고기 육질 육즙이 좋으네요 컬리 한번도 실패한적 없는데 오늘도 성공입니다,119,5
두번째 구매예요 원래 비비고 돈까스만 먹었는데 컬리꺼 가성비 너무 좋아요 맛있구요,45,5
진짜 괜찮아요 에프에 세워서 구우면 기름 쫙 빠져요,28,5
괜찮은듯요 가성비좋아요,12,4
돈까스 살때 항상 이 제품만 사요,18,5
통등심 돈까스 잘 먹었습니다,15,4
통통하고 든든한 돈까스 에어프라이어 15분에 간단하게 조리되요,34,5
한 번 시켜먹고 가성비가 너무 좋아 재주문했습니다 살도 통통하고 바삭하고 에어프라이어에 구우면 되니까 간편하고 짱입니다,66,5
아직 안 먹어봤는데 저렴하니까 구매했어요 먹어보고 괜찮으면 또 구매 하게 될 가격이엥,47,5
냄시는 맛있겠다 했는데 맛은 덜익은것처럼 그닥,25,3
후기가 좋아서 구매해봤어요,14,5
맛있어요 에어프라이기에 해서 편하고 좋네요,23,5
일반 냉동돈까스는 에어프라이어에 조리하면 퍼석해서 맛없는데 이건 에어프라이용이라 좋아요 맛은 쏘쏘 합니다 저렴한거 같아 구매해봤어요,73,5
365제품은다 즇아요,11,4
튀겨나와 에어프라이어에 간편하게 요리해먹을수 있어 좋아요,31,5
돈까스는 언제나 어디서나 맛있었요 저렴하게 가성비 좋고 맛도 괜잖네요 에프에 돌려먹으니 간편하고 좋네요,57,5
돈까스 조금 작은 편인데 에어후라이어에 두장씩 들어가서 좋아요,34,4
간편하지만 맛있어요 크기도 적당하고 냉동실 상비용으로 딱인듯요,34,5
괜춘 편해서 좋아요,10,4
가성비좋은 돈까스 반찬없을때 먹음 든든하고 좋아요,27,5
후기보고 구매했는데 맛있네요 살짝 한김 뺀후 먹으면 바삭하니 맛있네요 다만 에어프라이용이 튀김 기름이 많이 베어나오는듯합니다,69,4
후기가 워낙 좋아서 호기심에 구매해보았어요,23,5
별기대않고 구매했는데 돈까스 크기도 크고 바삭바삭하니 너무 맛있어요,37,5
돈까스는 언제나 사랑입니다,14,5
두툼하니 맛도 좋습니다,12,5
가격 착하게 먹을 수 있는 돈까스,18,2
첨먹어봤는데아주아주맛있어요,14,4
에프에 돌리면 너무 편하고 기름기도 적고 바삭바삭 맛있어요,32,5
가성비 너무좋고 집에서도 맛있게 돈까스쫄면 먹었습니당,29,5
큰 기대 안하고 주문했는데 맛있어서 놀랐어요 지금까지 먹은 에프용 돈까스 중에 제일 만족스러웠습니다,55,5
맛있어요 바삭하고가만 안의 고기가 안 익혀져 있으므로 에프에서 충분히 오래 조리해 줘야 하고 반으로 잘라 완전 익었는지 확인하고 드셔야 할 것 같아요 예상보다 훨씬 조리시긴이 오래걸려어요,104,3
에어프라이용이라고해서 가성비제품사봅니다,21,4
맛나요 재구매 했습니다,12,5
